Invoice_ID,Invoice_Date,Due_Date,Customer_ID,Department_ID,Invoice_Category,Invoice_Amount,Paid_Amount,Outstanding_Amount,Payment_Status,Region_ID
INV-012367,2025-01-02,2025-03-03,CUS-01543,DEP-008,Other Revenue,8939.26,6297.33,2641.93,Partially Paid,REG-04
INV-012810,2025-01-02,2025-02-01,CUS-01230,DEP-007,Subscription,6014.72,1202.94,4811.78,Pending,REG-04
INV-013648,2025-01-02,2025-02-01,CUS-01438,DEP-004,Product Sales,4935.35,987.07,3948.28,Pending,REG-05
INV-013697,2025-01-02,2025-01-17,CUS-01398,DEP-004,Implementation,3677.63,3677.63,0.0,Paid,REG-05
INV-014623,2025-01-02,2025-02-01,CUS-01140,DEP-010,Service Revenue,29394.21,29394.21,0.0,Paid,REG-08
INV-000218,2025-01-03,2025-02-02,CUS-01509,DEP-005,Maintenance,43841.75,43841.75,0.0,Paid,REG-01
INV-000786,2025-01-03,2025-02-02,CUS-00464,DEP-008,Implementation,4787.11,4006.53,780.58,Partially Paid,REG-04
INV-001902,2025-01-03,2025-02-17,CUS-00680,DEP-003,Other Revenue,24430.82,0.0,24430.82,Pending,REG-06
INV-002690,2025-01-03,2025-02-02,CUS-00437,DEP-002,Service Revenue,10531.6,10531.6,0.0,Paid,REG-04
INV-004795,2025-01-03,2025-02-02,CUS-01438,DEP-009,Subscription,18951.08,0.0,18951.08,Pending,REG-06
INV-006575,2025-01-03,2025-01-18,CUS-00039,DEP-007,Product Sales,72550.57,45751.24,26799.33,Partially Paid,REG-02
INV-006869,2025-01-03,2025-02-02,CUS-01263,DEP-001,Support,13703.45,13703.45,0.0,Paid,REG-02
INV-007010,2025-01-03,2025-01-18,CUS-01800,DEP-001,Service Revenue,9648.43,9648.43,0.0,Paid,REG-01
INV-007140,2025-01-03,2025-02-02,CUS-00987,DEP-004,Consulting,18922.17,0.0,18922.17,Overdue,REG-03
INV-007742,2025-01-03,2025-02-02,CUS-01675,DEP-006,Subscription,9480.19,9480.19,0.0,Paid,REG-08
INV-008347,2025-01-03,2025-02-17,CUS-00629,DEP-004,Maintenance,6435.09,0.0,6435.09,Pending,REG-08
INV-009010,2025-01-03,2025-02-17,CUS-01208,DEP-007,Maintenance,12556.39,1255.64,11300.75,Overdue,REG-03
INV-009421,2025-01-03,2025-02-02,CUS-01277,DEP-009,Subscription,12689.27,1268.93,11420.34,Overdue,REG-01
INV-010091,2025-01-03,2025-01-18,CUS-00634,DEP-005,Support,113663.73,113663.73,0.0,Paid,REG-01
INV-011907,2025-01-03,2025-02-02,CUS-00716,DEP-006,Subscription,24804.85,0.0,24804.85,Pending,REG-03
INV-011965,2025-01-03,2025-03-04,CUS-00491,DEP-009,Maintenance,15343.72,10571.25,4772.47,Partially Paid,REG-05
INV-000339,2025-01-04,2025-01-19,CUS-00055,DEP-004,Consulting,13222.95,13222.95,0.0,Paid,REG-05
INV-000779,2025-01-04,2025-02-03,CUS-01224,DEP-009,Product Sales,18004.41,18004.41,0.0,Paid,REG-07
INV-002727,2025-01-04,2025-02-03,CUS-00272,DEP-005,Support,5582.45,0.0,5582.45,Overdue,REG-08
INV-002783,2025-01-04,2025-02-03,CUS-01510,DEP-007,Product Sales,15918.96,1591.9,14327.06,Overdue,REG-02
INV-004613,2025-01-04,2025-02-03,CUS-00776,DEP-004,Implementation,70352.35,29570.6,40781.75,Partially Paid,REG-05
INV-007549,2025-01-04,2025-02-18,CUS-00764,DEP-004,Maintenance,35261.2,25076.29,10184.91,Partially Paid,REG-02
INV-011429,2025-01-04,2025-02-03,CUS-00809,DEP-001,Maintenance,53419.74,53419.74,0.0,Paid,REG-05
INV-011738,2025-01-04,2025-02-03,CUS-01054,DEP-004,Subscription,18470.41,18470.41,0.0,Paid,REG-04
INV-012847,2025-01-04,2025-02-03,CUS-00560,DEP-001,Service Revenue,14775.59,14775.59,0.0,Paid,REG-01
INV-000348,2025-01-05,2025-02-19,CUS-01750,DEP-009,Consulting,8162.7,1632.54,6530.16,Pending,REG-04
INV-000571,2025-01-05,2025-02-19,CUS-01274,DEP-003,Maintenance,15855.98,3171.2,12684.78,Pending,REG-04
INV-000922,2025-01-05,2025-02-04,CUS-01427,DEP-010,Other Revenue,5715.65,5715.65,0.0,Paid,REG-01
INV-003554,2025-01-05,2025-03-06,CUS-00592,DEP-004,Support,6394.67,6394.67,0.0,Paid,REG-04
INV-003902,2025-01-05,2025-02-04,CUS-00630,DEP-004,Other Revenue,16272.68,16272.68,0.0,Paid,REG-02
INV-003983,2025-01-05,2025-01-20,CUS-01833,DEP-007,Consulting,18601.35,18601.35,0.0,Paid,REG-03
INV-003987,2025-01-05,2025-01-20,CUS-01383,DEP-001,Other Revenue,38201.5,38201.5,0.0,Paid,REG-01
INV-005139,2025-01-05,2025-02-04,CUS-00481,DEP-003,Product Sales,9877.09,5889.81,3987.28,Partially Paid,REG-03
INV-005227,2025-01-05,2025-02-04,CUS-00170,DEP-008,Other Revenue,48333.2,48333.2,0.0,Paid,REG-05
INV-006299,2025-01-05,2025-02-04,CUS-01242,DEP-009,Service Revenue,9124.6,9124.6,0.0,Paid,REG-05
INV-007062,2025-01-05,2025-01-20,CUS-00182,DEP-002,Implementation,3142.76,1984.36,1158.4,Partially Paid,REG-08
INV-008010,2025-01-05,2025-02-04,CUS-01536,DEP-002,Subscription,42415.45,42415.45,0.0,Paid,REG-08
INV-008423,2025-01-05,2025-02-04,CUS-00558,DEP-008,Product Sales,19972.54,19972.54,0.0,Paid,REG-02
INV-010248,2025-01-05,2025-02-04,CUS-01534,DEP-008,Subscription,14545.3,14545.3,0.0,Paid,REG-01
INV-010919,2025-01-05,2025-02-04,CUS-00002,DEP-001,Subscription,76011.68,76011.68,0.0,Paid,REG-06
INV-012878,2025-01-05,2025-02-04,CUS-01744,DEP-004,Product Sales,39286.16,12804.11,26482.05,Partially Paid,REG-02
INV-013028,2025-01-05,2025-02-04,CUS-01904,DEP-010,Subscription,28370.61,28370.61,0.0,Paid,REG-08
INV-013832,2025-01-05,2025-02-19,CUS-01955,DEP-003,Consulting,33240.11,0.0,33240.11,Overdue,REG-01
INV-014168,2025-01-05,2025-02-04,CUS-01555,DEP-006,Consulting,16055.24,16055.24,0.0,Paid,REG-07
INV-000295,2025-01-06,2025-02-05,CUS-01740,DEP-006,Support,15555.81,12162.51,3393.3,Partially Paid,REG-01
INV-000816,2025-01-06,2025-02-05,CUS-00210,DEP-002,Subscription,19942.99,19942.99,0.0,Paid,REG-05
INV-001269,2025-01-06,2025-02-05,CUS-00928,DEP-003,Service Revenue,9248.95,2688.76,6560.19,Partially Paid,REG-05
INV-002374,2025-01-06,2025-02-20,CUS-00913,DEP-002,Service Revenue,11052.59,0.0,11052.59,Overdue,REG-08
INV-002458,2025-01-06,2025-02-05,CUS-01998,DEP-009,Other Revenue,10578.12,0.0,10578.12,Overdue,REG-08
INV-002568,2025-01-06,2025-02-05,CUS-01216,DEP-003,Other Revenue,15881.28,15881.28,0.0,Paid,REG-03
INV-002851,2025-01-06,2025-02-05,CUS-01891,DEP-007,Service Revenue,2881.31,0.0,2881.31,Pending,REG-05
INV-004206,2025-01-06,2025-03-07,CUS-01384,DEP-010,Product Sales,4380.11,4380.11,0.0,Paid,REG-01
INV-004530,2025-01-06,2025-02-05,CUS-00687,DEP-005,Other Revenue,35048.66,0.0,35048.66,Overdue,REG-01
INV-004720,2025-01-06,2025-02-05,CUS-01999,DEP-006,Maintenance,34245.4,34245.4,0.0,Paid,REG-06
INV-005646,2025-01-06,2025-02-05,CUS-00116,DEP-009,Other Revenue,20357.31,20357.31,0.0,Paid,REG-01
INV-006579,2025-01-06,2025-02-20,CUS-01369,DEP-007,Maintenance,17225.64,17225.64,0.0,Paid,REG-04
INV-006847,2025-01-06,2025-02-05,CUS-00178,DEP-006,Subscription,4572.52,914.5,3658.02,Overdue,REG-07
INV-007042,2025-01-06,2025-02-20,CUS-01526,DEP-005,Subscription,5690.7,1489.66,4201.04,Partially Paid,REG-06
INV-007099,2025-01-06,2025-02-05,CUS-00908,DEP-003,Consulting,26761.95,26761.95,0.0,Paid,REG-01
INV-008054,2025-01-06,2025-02-05,CUS-01152,DEP-005,Maintenance,10621.82,10621.82,0.0,Paid,REG-02
INV-008127,2025-01-06,2025-02-05,CUS-00753,DEP-004,Maintenance,35557.5,35557.5,0.0,Paid,REG-04
INV-010215,2025-01-06,2025-02-05,CUS-00947,DEP-006,Subscription,12413.38,0.0,12413.38,Overdue,REG-04
INV-010753,2025-01-06,2025-02-05,CUS-00940,DEP-002,Consulting,48581.18,48581.18,0.0,Paid,REG-02
INV-012459,2025-01-06,2025-02-20,CUS-01289,DEP-008,Subscription,15759.49,0.0,15759.49,Overdue,REG-01
INV-012978,2025-01-06,2025-03-07,CUS-00144,DEP-001,Service Revenue,7426.41,3181.54,4244.87,Partially Paid,REG-01
INV-014097,2025-01-06,2025-02-20,CUS-00223,DEP-002,Implementation,23438.22,23438.22,0.0,Paid,REG-04
INV-001098,2025-01-07,2025-02-06,CUS-01981,DEP-009,Support,6753.69,0.0,6753.69,Pending,REG-06
INV-003084,2025-01-07,2025-02-06,CUS-00168,DEP-007,Maintenance,9209.11,9209.11,0.0,Paid,REG-06
INV-003818,2025-01-07,2025-01-22,CUS-01513,DEP-003,Consulting,21650.98,21650.98,0.0,Paid,REG-07
INV-004634,2025-01-07,2025-03-08,CUS-01733,DEP-007,Product Sales,8870.49,8870.49,0.0,Paid,REG-01
INV-004812,2025-01-07,2025-02-06,CUS-01488,DEP-002,Implementation,18675.64,18675.64,0.0,Paid,REG-01
INV-005297,2025-01-07,2025-02-06,CUS-01626,DEP-005,Maintenance,4913.08,4913.08,0.0,Paid,REG-06
INV-005942,2025-01-07,2025-02-06,CUS-01043,DEP-004,Implementation,8888.16,0.0,8888.16,Overdue,REG-05
INV-006827,2025-01-07,2025-02-06,CUS-01615,DEP-010,Product Sales,11186.46,11186.46,0.0,Paid,REG-06
INV-006911,2025-01-07,2025-02-06,CUS-01739,DEP-006,Support,25816.69,5163.34,20653.35,Pending,REG-05
INV-007739,2025-01-07,2025-02-06,CUS-01190,DEP-006,Consulting,14121.64,0.0,14121.64,Cancelled,REG-02
INV-007901,2025-01-07,2025-02-06,CUS-00522,DEP-006,Maintenance,4158.7,4158.7,0.0,Paid,REG-08
INV-008889,2025-01-07,2025-02-06,CUS-01006,DEP-006,Consulting,5345.45,0.0,5345.45,Pending,REG-03
INV-009714,2025-01-07,2025-02-06,CUS-00921,DEP-004,Product Sales,19479.54,11635.33,7844.21,Partially Paid,REG-07
INV-013277,2025-01-07,2025-02-21,CUS-01253,DEP-007,Consulting,10858.27,10858.27,0.0,Paid,REG-06
INV-013608,2025-01-07,2025-03-08,CUS-01766,DEP-006,Consulting,4138.21,4138.21,0.0,Paid,REG-03
INV-000679,2025-01-08,2025-02-07,CUS-01307,DEP-005,Maintenance,20919.54,20919.54,0.0,Paid,REG-03
INV-000759,2025-01-08,2025-02-07,CUS-00602,DEP-010,Other Revenue,4460.63,1780.28,2680.35,Partially Paid,REG-02
INV-001547,2025-01-08,2025-02-07,CUS-01394,DEP-009,Service Revenue,6020.36,6020.36,0.0,Paid,REG-04
INV-002572,2025-01-08,2025-02-07,CUS-01848,DEP-005,Subscription,35627.49,35627.49,0.0,Paid,REG-07
INV-003446,2025-01-08,2025-02-07,CUS-01631,DEP-004,Consulting,30209.44,0.0,30209.44,Pending,REG-04
INV-003600,2025-01-08,2025-02-22,CUS-00031,DEP-008,Other Revenue,3226.79,3226.79,0.0,Paid,REG-03
INV-007781,2025-01-08,2025-02-07,CUS-01583,DEP-003,Maintenance,18886.02,14023.22,4862.8,Partially Paid,REG-03
INV-010601,2025-01-08,2025-01-23,CUS-01111,DEP-005,Support,15754.84,15754.84,0.0,Paid,REG-05
INV-012096,2025-01-08,2025-02-07,CUS-01517,DEP-003,Product Sales,19184.93,19184.93,0.0,Paid,REG-04
INV-013283,2025-01-08,2025-02-07,CUS-00239,DEP-004,Maintenance,15411.51,3082.3,12329.21,Overdue,REG-03
INV-014516,2025-01-08,2025-02-22,CUS-00837,DEP-002,Service Revenue,83997.95,83997.95,0.0,Paid,REG-02
INV-014664,2025-01-08,2025-02-07,CUS-00759,DEP-004,Consulting,5886.95,5886.95,0.0,Paid,REG-06
INV-014816,2025-01-08,2025-02-22,CUS-00028,DEP-009,Consulting,50715.07,50715.07,0.0,Paid,REG-06
INV-000065,2025-01-09,2025-02-08,CUS-00475,DEP-007,Consulting,30162.34,30162.34,0.0,Paid,REG-03
INV-000821,2025-01-09,2025-03-10,CUS-00911,DEP-002,Maintenance,22325.06,22325.06,0.0,Paid,REG-02
INV-001874,2025-01-09,2025-02-08,CUS-01157,DEP-009,Support,34531.16,34531.16,0.0,Paid,REG-08
INV-002707,2025-01-09,2025-03-10,CUS-01733,DEP-007,Service Revenue,63239.65,63239.65,0.0,Paid,REG-08
INV-002985,2025-01-09,2025-02-23,CUS-01712,DEP-006,Product Sales,18585.19,18585.19,0.0,Paid,REG-01
INV-003036,2025-01-09,2025-02-08,CUS-00632,DEP-006,Support,14778.9,0.0,14778.9,Pending,REG-05
INV-004543,2025-01-09,2025-02-08,CUS-01413,DEP-003,Maintenance,23617.65,23617.65,0.0,Paid,REG-06
INV-005191,2025-01-09,2025-03-10,CUS-01806,DEP-002,Consulting,5726.49,5726.49,0.0,Paid,REG-01
INV-005871,2025-01-09,2025-02-08,CUS-00767,DEP-003,Other Revenue,9296.0,929.6,8366.4,Overdue,REG-01
INV-007498,2025-01-09,2025-02-23,CUS-01383,DEP-005,Support,108526.65,85066.42,23460.23,Partially Paid,REG-03
INV-007702,2025-01-09,2025-01-24,CUS-00111,DEP-004,Maintenance,11758.02,0.0,11758.02,Overdue,REG-01
INV-008475,2025-01-09,2025-02-08,CUS-00238,DEP-003,Maintenance,16670.21,16670.21,0.0,Paid,REG-06
INV-008496,2025-01-09,2025-02-08,CUS-00471,DEP-004,Subscription,39515.81,39515.81,0.0,Paid,REG-03
INV-009713,2025-01-09,2025-02-23,CUS-01143,DEP-009,Implementation,5457.18,5457.18,0.0,Paid,REG-06
INV-009894,2025-01-09,2025-02-23,CUS-00964,DEP-008,Consulting,38619.11,0.0,38619.11,Overdue,REG-02
INV-011672,2025-01-09,2025-02-08,CUS-01298,DEP-003,Subscription,43347.44,43347.44,0.0,Paid,REG-08
INV-013292,2025-01-09,2025-02-23,CUS-01042,DEP-008,Service Revenue,29318.59,0.0,29318.59,Cancelled,REG-05
INV-014332,2025-01-09,2025-02-08,CUS-01319,DEP-003,Service Revenue,24500.56,24500.56,0.0,Paid,REG-02
INV-014661,2025-01-09,2025-03-10,CUS-00914,DEP-004,Consulting,68138.2,6813.82,61324.38,Overdue,REG-03
INV-000744,2025-01-10,2025-02-24,CUS-00917,DEP-009,Maintenance,12233.58,12233.58,0.0,Paid,REG-05
INV-002566,2025-01-10,2025-02-09,CUS-01704,DEP-008,Other Revenue,30941.51,0.0,30941.51,Cancelled,REG-05
INV-002823,2025-01-10,2025-02-09,CUS-01656,DEP-003,Maintenance,11429.82,11429.82,0.0,Paid,REG-08
INV-003975,2025-01-10,2025-02-24,CUS-00840,DEP-007,Other Revenue,7890.08,0.0,7890.08,Pending,REG-02
INV-004023,2025-01-10,2025-02-09,CUS-00857,DEP-009,Product Sales,9562.32,0.0,9562.32,Overdue,REG-05
INV-004203,2025-01-10,2025-02-24,CUS-01445,DEP-008,Other Revenue,18277.02,18277.02,0.0,Paid,REG-01
INV-004545,2025-01-10,2025-03-11,CUS-00905,DEP-010,Support,38134.54,3813.45,34321.09,Overdue,REG-04
INV-004857,2025-01-10,2025-03-11,CUS-01527,DEP-005,Implementation,4452.41,4452.41,0.0,Paid,REG-03
INV-004942,2025-01-10,2025-02-24,CUS-00502,DEP-001,Implementation,10511.7,10511.7,0.0,Paid,REG-06
INV-005035,2025-01-10,2025-02-24,CUS-00769,DEP-001,Product Sales,14660.99,14660.99,0.0,Paid,REG-03
INV-005784,2025-01-10,2025-02-09,CUS-01616,DEP-006,Product Sales,36204.3,36204.3,0.0,Paid,REG-01
INV-011025,2025-01-10,2025-02-09,CUS-01388,DEP-002,Maintenance,50157.92,50157.92,0.0,Paid,REG-05
INV-013129,2025-01-10,2025-02-24,CUS-01022,DEP-003,Other Revenue,2247.82,811.86,1435.96,Partially Paid,REG-06
INV-013247,2025-01-10,2025-02-09,CUS-01043,DEP-001,Other Revenue,23221.9,23221.9,0.0,Paid,REG-02
INV-013779,2025-01-10,2025-02-09,CUS-00772,DEP-008,Support,34522.63,34522.63,0.0,Paid,REG-06
INV-000370,2025-01-11,2025-03-12,CUS-01549,DEP-003,Maintenance,15464.25,11245.65,4218.6,Partially Paid,REG-06
INV-000524,2025-01-11,2025-02-10,CUS-01410,DEP-009,Support,30189.99,0.0,30189.99,Overdue,REG-02
INV-000973,2025-01-11,2025-02-25,CUS-01607,DEP-006,Consulting,2969.59,2969.59,0.0,Paid,REG-01
INV-001542,2025-01-11,2025-01-26,CUS-01631,DEP-008,Maintenance,24954.54,4990.91,19963.63,Pending,REG-04
INV-003133,2025-01-11,2025-02-25,CUS-00443,DEP-006,Maintenance,46843.25,46843.25,0.0,Paid,REG-04
INV-003758,2025-01-11,2025-02-10,CUS-00903,DEP-009,Subscription,41638.34,27967.49,13670.85,Partially Paid,REG-01
INV-004141,2025-01-11,2025-02-25,CUS-01782,DEP-007,Subscription,17575.69,3515.14,14060.55,Pending,REG-08
INV-004960,2025-01-11,2025-02-10,CUS-01804,DEP-009,Implementation,20280.87,14998.67,5282.2,Partially Paid,REG-04
INV-005825,2025-01-11,2025-01-26,CUS-00424,DEP-002,Product Sales,14428.52,7174.52,7254.0,Partially Paid,REG-08
INV-005872,2025-01-11,2025-02-10,CUS-00080,DEP-001,Consulting,37736.86,0.0,37736.86,Pending,REG-01
INV-006204,2025-01-11,2025-02-10,CUS-00799,DEP-003,Consulting,26938.33,0.0,26938.33,Overdue,REG-07
INV-006913,2025-01-11,2025-03-12,CUS-01140,DEP-009,Support,8252.04,0.0,8252.04,Pending,REG-01
INV-007842,2025-01-11,2025-03-12,CUS-00670,DEP-006,Service Revenue,5035.4,5035.4,0.0,Paid,REG-04
INV-009664,2025-01-11,2025-02-10,CUS-01318,DEP-003,Implementation,12216.03,9146.53,3069.5,Partially Paid,REG-07
INV-011042,2025-01-11,2025-02-10,CUS-01954,DEP-009,Other Revenue,12034.61,12034.61,0.0,Paid,REG-07
INV-012109,2025-01-11,2025-02-10,CUS-00043,DEP-008,Subscription,12999.88,0.0,12999.88,Overdue,REG-07
INV-000066,2025-01-12,2025-03-13,CUS-01836,DEP-005,Consulting,7585.55,0.0,7585.55,Overdue,REG-08
INV-000827,2025-01-12,2025-02-11,CUS-01529,DEP-003,Subscription,8964.52,8964.52,0.0,Paid,REG-04
INV-001162,2025-01-12,2025-02-11,CUS-00959,DEP-008,Implementation,4725.24,4725.24,0.0,Paid,REG-04
INV-001977,2025-01-12,2025-02-11,CUS-00080,DEP-003,Subscription,18165.42,18165.42,0.0,Paid,REG-03
INV-002311,2025-01-12,2025-03-13,CUS-01300,DEP-004,Implementation,29955.83,14665.48,15290.35,Partially Paid,REG-04
INV-002401,2025-01-12,2025-02-11,CUS-00076,DEP-002,Maintenance,30453.89,30453.89,0.0,Paid,REG-08
INV-008522,2025-01-12,2025-02-11,CUS-01777,DEP-005,Implementation,3792.12,379.21,3412.91,Overdue,REG-04
INV-010357,2025-01-12,2025-02-11,CUS-00596,DEP-008,Service Revenue,18007.4,0.0,18007.4,Overdue,REG-06
INV-010977,2025-01-12,2025-02-11,CUS-00900,DEP-010,Maintenance,9823.22,0.0,9823.22,Overdue,REG-06
INV-012056,2025-01-12,2025-03-13,CUS-01296,DEP-002,Implementation,23460.26,2346.03,21114.23,Pending,REG-08
INV-012065,2025-01-12,2025-02-11,CUS-01601,DEP-004,Support,29429.62,2942.96,26486.66,Pending,REG-06
INV-013438,2025-01-12,2025-02-26,CUS-00420,DEP-005,Consulting,54980.04,54980.04,0.0,Paid,REG-02
INV-013747,2025-01-12,2025-01-27,CUS-00008,DEP-010,Consulting,47511.92,47511.92,0.0,Paid,REG-08
INV-001733,2025-01-13,2025-02-12,CUS-01306,DEP-002,Other Revenue,7029.08,0.0,7029.08,Overdue,REG-01
INV-003775,2025-01-13,2025-01-28,CUS-00063,DEP-006,Support,18056.19,13448.05,4608.14,Partially Paid,REG-01
INV-005052,2025-01-13,2025-03-14,CUS-00736,DEP-010,Support,11917.63,0.0,11917.63,Overdue,REG-06
INV-005277,2025-01-13,2025-02-12,CUS-01248,DEP-008,Implementation,15573.06,0.0,15573.06,Cancelled,REG-07
INV-005458,2025-01-13,2025-01-28,CUS-01551,DEP-001,Other Revenue,11125.73,0.0,11125.73,Overdue,REG-08
INV-007611,2025-01-13,2025-02-12,CUS-01148,DEP-008,Subscription,27417.65,27417.65,0.0,Paid,REG-08
INV-008294,2025-01-13,2025-02-12,CUS-00630,DEP-010,Implementation,20983.44,4196.69,16786.75,Pending,REG-05
INV-009121,2025-01-13,2025-02-27,CUS-01403,DEP-008,Subscription,9401.27,0.0,9401.27,Overdue,REG-03
INV-009439,2025-01-13,2025-02-12,CUS-01913,DEP-006,Maintenance,7084.46,0.0,7084.46,Pending,REG-08
INV-010472,2025-01-13,2025-02-12,CUS-01380,DEP-008,Consulting,7969.07,0.0,7969.07,Overdue,REG-02
INV-010685,2025-01-13,2025-02-12,CUS-00094,DEP-010,Support,37669.89,37669.89,0.0,Paid,REG-06
INV-011875,2025-01-13,2025-02-12,CUS-01278,DEP-008,Subscription,31882.67,16830.26,15052.41,Partially Paid,REG-02
INV-012420,2025-01-13,2025-01-28,CUS-00150,DEP-005,Support,39267.74,0.0,39267.74,Pending,REG-06
INV-013072,2025-01-13,2025-01-28,CUS-01204,DEP-006,Support,15605.21,15605.21,0.0,Paid,REG-01
INV-013132,2025-01-13,2025-02-12,CUS-00242,DEP-001,Other Revenue,11063.07,0.0,11063.07,Overdue,REG-04
INV-013767,2025-01-13,2025-02-12,CUS-01088,DEP-006,Subscription,14847.33,14847.33,0.0,Paid,REG-03
INV-014372,2025-01-13,2025-02-12,CUS-00457,DEP-001,Support,35925.08,22009.28,13915.8,Partially Paid,REG-01
INV-000607,2025-01-14,2025-02-13,CUS-00090,DEP-004,Subscription,76848.75,76848.75,0.0,Paid,REG-02
INV-001272,2025-01-14,2025-02-13,CUS-00486,DEP-009,Other Revenue,9934.32,9934.32,0.0,Paid,REG-04
INV-001661,2025-01-14,2025-02-28,CUS-01846,DEP-003,Other Revenue,4255.35,4255.35,0.0,Paid,REG-02
INV-001785,2025-01-14,2025-02-13,CUS-01157,DEP-009,Implementation,12795.8,12795.8,0.0,Paid,REG-03
INV-004632,2025-01-14,2025-02-13,CUS-00849,DEP-010,Maintenance,8018.46,1603.69,6414.77,Overdue,REG-07
