Budget_ID,Year,Quarter,Month,Department_ID,Cost_Center_ID,Category_ID,Budget_Amount,Budget_Type,Region_ID
BUD-202504-DEP-002-CC-111-CAT-002,2025,Q2,April,DEP-002,CC-111,CAT-002,20303.43,Operating,REG-01
BUD-202504-DEP-003-CC-113-CAT-006,2025,Q2,April,DEP-003,CC-113,CAT-006,47425.15,Departmental,REG-03
BUD-202504-DEP-003-CC-103-CAT-009,2025,Q2,April,DEP-003,CC-103,CAT-009,37466.1,Operating,REG-03
BUD-202504-DEP-003-CC-101-CAT-012,2025,Q2,April,DEP-003,CC-101,CAT-012,29548.94,Project,REG-01
BUD-202504-DEP-003-CC-112-CAT-012,2025,Q2,April,DEP-003,CC-112,CAT-012,31749.76,Operating,REG-06
BUD-202504-DEP-003-CC-116-CAT-004,2025,Q2,April,DEP-003,CC-116,CAT-004,58940.22,Operating,REG-02
BUD-202504-DEP-003-CC-109-CAT-014,2025,Q2,April,DEP-003,CC-109,CAT-014,39763.82,Departmental,REG-08
BUD-202504-DEP-003-CC-109-CAT-002,2025,Q2,April,DEP-003,CC-109,CAT-002,33760.21,Project,REG-05
BUD-202504-DEP-003-CC-116-CAT-002,2025,Q2,April,DEP-003,CC-116,CAT-002,31535.96,Operating,REG-06
BUD-202504-DEP-003-CC-120-CAT-004,2025,Q2,April,DEP-003,CC-120,CAT-004,63159.07,Operating,REG-03
BUD-202504-DEP-003-CC-112-CAT-010,2025,Q2,April,DEP-003,CC-112,CAT-010,31203.99,Project,REG-08
BUD-202504-DEP-003-CC-112-CAT-011,2025,Q2,April,DEP-003,CC-112,CAT-011,46587.34,Operating,REG-03
BUD-202504-DEP-003-CC-114-CAT-005,2025,Q2,April,DEP-003,CC-114,CAT-005,37859.25,Operating,REG-07
BUD-202504-DEP-003-CC-116-CAT-008,2025,Q2,April,DEP-003,CC-116,CAT-008,57974.87,Operating,REG-08
BUD-202504-DEP-003-CC-107-CAT-006,2025,Q2,April,DEP-003,CC-107,CAT-006,42346.9,Project,REG-08
BUD-202504-DEP-003-CC-119-CAT-006,2025,Q2,April,DEP-003,CC-119,CAT-006,43721.86,Departmental,REG-08
BUD-202504-DEP-003-CC-108-CAT-004,2025,Q2,April,DEP-003,CC-108,CAT-004,64670.96,Capital,REG-04
BUD-202504-DEP-003-CC-113-CAT-014,2025,Q2,April,DEP-003,CC-113,CAT-014,44326.19,Operating,REG-08
BUD-202504-DEP-003-CC-108-CAT-001,2025,Q2,April,DEP-003,CC-108,CAT-001,49640.7,Departmental,REG-06
BUD-202504-DEP-003-CC-103-CAT-013,2025,Q2,April,DEP-003,CC-103,CAT-013,47184.6,Departmental,REG-06
BUD-202504-DEP-003-CC-117-CAT-007,2025,Q2,April,DEP-003,CC-117,CAT-007,26694.76,Departmental,REG-04
BUD-202504-DEP-003-CC-114-CAT-011,2025,Q2,April,DEP-003,CC-114,CAT-011,44331.39,Operating,REG-07
BUD-202504-DEP-003-CC-109-CAT-014,2025,Q2,April,DEP-003,CC-109,CAT-014,35516.71,Operating,REG-08
BUD-202504-DEP-003-CC-119-CAT-001,2025,Q2,April,DEP-003,CC-119,CAT-001,45428.16,Departmental,REG-05
BUD-202504-DEP-003-CC-101-CAT-013,2025,Q2,April,DEP-003,CC-101,CAT-013,49638.04,Project,REG-05
BUD-202504-DEP-003-CC-111-CAT-010,2025,Q2,April,DEP-003,CC-111,CAT-010,33564.69,Project,REG-07
BUD-202504-DEP-003-CC-117-CAT-001,2025,Q2,April,DEP-003,CC-117,CAT-001,55448.38,Capital,REG-08
BUD-202504-DEP-003-CC-108-CAT-014,2025,Q2,April,DEP-003,CC-108,CAT-014,43308.58,Operating,REG-07
BUD-202504-DEP-003-CC-117-CAT-005,2025,Q2,April,DEP-003,CC-117,CAT-005,35474.72,Operating,REG-03
BUD-202504-DEP-003-CC-111-CAT-004,2025,Q2,April,DEP-003,CC-111,CAT-004,57695.91,Operating,REG-01
BUD-202504-DEP-003-CC-115-CAT-008,2025,Q2,April,DEP-003,CC-115,CAT-008,54644.41,Operating,REG-03
BUD-202504-DEP-003-CC-106-CAT-006,2025,Q2,April,DEP-003,CC-106,CAT-006,50556.61,Departmental,REG-02
BUD-202504-DEP-003-CC-119-CAT-010,2025,Q2,April,DEP-003,CC-119,CAT-010,33341.44,Operating,REG-03
BUD-202504-DEP-003-CC-120-CAT-014,2025,Q2,April,DEP-003,CC-120,CAT-014,37216.89,Capital,REG-03
BUD-202504-DEP-003-CC-112-CAT-014,2025,Q2,April,DEP-003,CC-112,CAT-014,38500.91,Departmental,REG-02
BUD-202504-DEP-003-CC-101-CAT-010,2025,Q2,April,DEP-003,CC-101,CAT-010,30795.41,Operating,REG-01
BUD-202504-DEP-003-CC-115-CAT-003,2025,Q2,April,DEP-003,CC-115,CAT-003,46298.51,Operating,REG-04
BUD-202504-DEP-003-CC-118-CAT-002,2025,Q2,April,DEP-003,CC-118,CAT-002,32404.7,Operating,REG-07
BUD-202504-DEP-003-CC-103-CAT-010,2025,Q2,April,DEP-003,CC-103,CAT-010,35325.81,Operating,REG-04
BUD-202504-DEP-003-CC-114-CAT-008,2025,Q2,April,DEP-003,CC-114,CAT-008,55624.2,Capital,REG-01
BUD-202504-DEP-003-CC-114-CAT-012,2025,Q2,April,DEP-003,CC-114,CAT-012,34069.01,Operating,REG-03
BUD-202504-DEP-003-CC-115-CAT-012,2025,Q2,April,DEP-003,CC-115,CAT-012,29897.36,Departmental,REG-03
BUD-202504-DEP-003-CC-114-CAT-005,2025,Q2,April,DEP-003,CC-114,CAT-005,34882.27,Departmental,REG-08
BUD-202504-DEP-003-CC-107-CAT-008,2025,Q2,April,DEP-003,CC-107,CAT-008,55715.72,Operating,REG-01
BUD-202504-DEP-003-CC-104-CAT-012,2025,Q2,April,DEP-003,CC-104,CAT-012,28425.83,Operating,REG-01
BUD-202504-DEP-003-CC-118-CAT-009,2025,Q2,April,DEP-003,CC-118,CAT-009,40094.14,Departmental,REG-07
BUD-202504-DEP-003-CC-119-CAT-008,2025,Q2,April,DEP-003,CC-119,CAT-008,53645.49,Departmental,REG-08
BUD-202504-DEP-003-CC-107-CAT-015,2025,Q2,April,DEP-003,CC-107,CAT-015,41988.47,Operating,REG-05
BUD-202504-DEP-004-CC-117-CAT-007,2025,Q2,April,DEP-004,CC-117,CAT-007,19710.11,Departmental,REG-08
BUD-202504-DEP-004-CC-109-CAT-008,2025,Q2,April,DEP-004,CC-109,CAT-008,37405.08,Departmental,REG-04
BUD-202504-DEP-004-CC-111-CAT-007,2025,Q2,April,DEP-004,CC-111,CAT-007,16575.34,Project,REG-03
BUD-202504-DEP-004-CC-102-CAT-010,2025,Q2,April,DEP-004,CC-102,CAT-010,22381.74,Project,REG-07
BUD-202504-DEP-004-CC-104-CAT-011,2025,Q2,April,DEP-004,CC-104,CAT-011,29945.39,Project,REG-06
BUD-202504-DEP-004-CC-115-CAT-006,2025,Q2,April,DEP-004,CC-115,CAT-006,32338.73,Operating,REG-06
BUD-202504-DEP-004-CC-116-CAT-002,2025,Q2,April,DEP-004,CC-116,CAT-002,19089.48,Capital,REG-01
BUD-202504-DEP-004-CC-112-CAT-011,2025,Q2,April,DEP-004,CC-112,CAT-011,31938.57,Project,REG-06
BUD-202504-DEP-004-CC-118-CAT-002,2025,Q2,April,DEP-004,CC-118,CAT-002,21222.75,Operating,REG-01
BUD-202504-DEP-004-CC-114-CAT-015,2025,Q2,April,DEP-004,CC-114,CAT-015,30918.92,Operating,REG-07
BUD-202504-DEP-004-CC-104-CAT-001,2025,Q2,April,DEP-004,CC-104,CAT-001,32954.45,Operating,REG-04
BUD-202504-DEP-004-CC-103-CAT-010,2025,Q2,April,DEP-004,CC-103,CAT-010,21817.28,Project,REG-05
BUD-202504-DEP-004-CC-102-CAT-012,2025,Q2,April,DEP-004,CC-102,CAT-012,23340.63,Capital,REG-07
BUD-202504-DEP-004-CC-102-CAT-007,2025,Q2,April,DEP-004,CC-102,CAT-007,17643.39,Operating,REG-05
BUD-202504-DEP-004-CC-101-CAT-010,2025,Q2,April,DEP-004,CC-101,CAT-010,23285.77,Project,REG-02
BUD-202504-DEP-004-CC-107-CAT-007,2025,Q2,April,DEP-004,CC-107,CAT-007,19302.87,Capital,REG-08
BUD-202504-DEP-004-CC-112-CAT-008,2025,Q2,April,DEP-004,CC-112,CAT-008,33707.84,Operating,REG-03
BUD-202504-DEP-004-CC-102-CAT-001,2025,Q2,April,DEP-004,CC-102,CAT-001,35772.73,Project,REG-05
BUD-202504-DEP-004-CC-101-CAT-012,2025,Q2,April,DEP-004,CC-101,CAT-012,19418.35,Operating,REG-07
BUD-202504-DEP-004-CC-118-CAT-007,2025,Q2,April,DEP-004,CC-118,CAT-007,17282.6,Project,REG-04
BUD-202504-DEP-004-CC-102-CAT-002,2025,Q2,April,DEP-004,CC-102,CAT-002,22076.34,Operating,REG-07
BUD-202504-DEP-004-CC-105-CAT-015,2025,Q2,April,DEP-004,CC-105,CAT-015,32229.81,Departmental,REG-06
BUD-202504-DEP-004-CC-113-CAT-004,2025,Q2,April,DEP-004,CC-113,CAT-004,43197.69,Operating,REG-05
BUD-202504-DEP-004-CC-112-CAT-001,2025,Q2,April,DEP-004,CC-112,CAT-001,34344.79,Project,REG-06
BUD-202504-DEP-004-CC-104-CAT-011,2025,Q2,April,DEP-004,CC-104,CAT-011,28818.99,Operating,REG-04
BUD-202504-DEP-004-CC-113-CAT-015,2025,Q2,April,DEP-004,CC-113,CAT-015,30846.57,Operating,REG-07
BUD-202504-DEP-004-CC-109-CAT-013,2025,Q2,April,DEP-004,CC-109,CAT-013,35665.52,Project,REG-04
BUD-202504-DEP-004-CC-112-CAT-003,2025,Q2,April,DEP-004,CC-112,CAT-003,24996.26,Operating,REG-06
BUD-202504-DEP-004-CC-105-CAT-015,2025,Q2,April,DEP-004,CC-105,CAT-015,32288.99,Departmental,REG-02
BUD-202504-DEP-004-CC-105-CAT-009,2025,Q2,April,DEP-004,CC-105,CAT-009,27214.04,Departmental,REG-07
BUD-202504-DEP-004-CC-105-CAT-004,2025,Q2,April,DEP-004,CC-105,CAT-004,41694.11,Project,REG-05
BUD-202504-DEP-004-CC-109-CAT-009,2025,Q2,April,DEP-004,CC-109,CAT-009,26643.21,Operating,REG-06
BUD-202504-DEP-004-CC-107-CAT-003,2025,Q2,April,DEP-004,CC-107,CAT-003,30144.29,Operating,REG-01
BUD-202504-DEP-004-CC-103-CAT-015,2025,Q2,April,DEP-004,CC-103,CAT-015,32730.31,Operating,REG-01
BUD-202504-DEP-004-CC-106-CAT-003,2025,Q2,April,DEP-004,CC-106,CAT-003,29959.18,Operating,REG-07
BUD-202504-DEP-004-CC-105-CAT-005,2025,Q2,April,DEP-004,CC-105,CAT-005,24601.73,Operating,REG-06
BUD-202504-DEP-004-CC-109-CAT-004,2025,Q2,April,DEP-004,CC-109,CAT-004,37966.35,Project,REG-03
BUD-202504-DEP-004-CC-110-CAT-001,2025,Q2,April,DEP-004,CC-110,CAT-001,32362.49,Operating,REG-08
BUD-202504-DEP-004-CC-115-CAT-005,2025,Q2,April,DEP-004,CC-115,CAT-005,23208.74,Project,REG-06
BUD-202504-DEP-004-CC-118-CAT-014,2025,Q2,April,DEP-004,CC-118,CAT-014,28297.68,Operating,REG-04
BUD-202504-DEP-004-CC-118-CAT-014,2025,Q2,April,DEP-004,CC-118,CAT-014,30036.07,Operating,REG-08
BUD-202504-DEP-004-CC-102-CAT-007,2025,Q2,April,DEP-004,CC-102,CAT-007,17208.22,Departmental,REG-02
BUD-202504-DEP-004-CC-117-CAT-014,2025,Q2,April,DEP-004,CC-117,CAT-014,26801.71,Operating,REG-06
BUD-202504-DEP-005-CC-117-CAT-009,2025,Q2,April,DEP-005,CC-117,CAT-009,32678.94,Project,REG-02
BUD-202504-DEP-005-CC-101-CAT-005,2025,Q2,April,DEP-005,CC-101,CAT-005,25043.03,Operating,REG-03
BUD-202504-DEP-005-CC-101-CAT-013,2025,Q2,April,DEP-005,CC-101,CAT-013,35313.4,Project,REG-04
BUD-202504-DEP-005-CC-120-CAT-009,2025,Q2,April,DEP-005,CC-120,CAT-009,32994.49,Operating,REG-05
BUD-202504-DEP-005-CC-102-CAT-009,2025,Q2,April,DEP-005,CC-102,CAT-009,31105.36,Departmental,REG-01
BUD-202504-DEP-005-CC-119-CAT-006,2025,Q2,April,DEP-005,CC-119,CAT-006,35974.24,Project,REG-07
BUD-202504-DEP-005-CC-110-CAT-014,2025,Q2,April,DEP-005,CC-110,CAT-014,29511.38,Operating,REG-06
BUD-202504-DEP-005-CC-104-CAT-006,2025,Q2,April,DEP-005,CC-104,CAT-006,37950.98,Departmental,REG-05
BUD-202504-DEP-005-CC-106-CAT-009,2025,Q2,April,DEP-005,CC-106,CAT-009,28313.23,Departmental,REG-06
BUD-202504-DEP-005-CC-118-CAT-012,2025,Q2,April,DEP-005,CC-118,CAT-012,24778.24,Operating,REG-03
BUD-202504-DEP-005-CC-104-CAT-013,2025,Q2,April,DEP-005,CC-104,CAT-013,36363.41,Project,REG-02
BUD-202504-DEP-005-CC-111-CAT-009,2025,Q2,April,DEP-005,CC-111,CAT-009,27178.54,Operating,REG-02
BUD-202504-DEP-005-CC-112-CAT-014,2025,Q2,April,DEP-005,CC-112,CAT-014,32755.54,Operating,REG-05
BUD-202504-DEP-005-CC-103-CAT-004,2025,Q2,April,DEP-005,CC-103,CAT-004,42401.25,Operating,REG-02
BUD-202504-DEP-005-CC-118-CAT-011,2025,Q2,April,DEP-005,CC-118,CAT-011,35575.07,Project,REG-07
BUD-202504-DEP-005-CC-110-CAT-005,2025,Q2,April,DEP-005,CC-110,CAT-005,29645.93,Project,REG-08
BUD-202504-DEP-005-CC-115-CAT-008,2025,Q2,April,DEP-005,CC-115,CAT-008,42091.82,Operating,REG-07
BUD-202504-DEP-005-CC-120-CAT-014,2025,Q2,April,DEP-005,CC-120,CAT-014,28871.39,Operating,REG-02
BUD-202504-DEP-005-CC-108-CAT-015,2025,Q2,April,DEP-005,CC-108,CAT-015,33427.67,Operating,REG-07
BUD-202504-DEP-005-CC-113-CAT-005,2025,Q2,April,DEP-005,CC-113,CAT-005,27872.35,Project,REG-03
BUD-202504-DEP-005-CC-118-CAT-009,2025,Q2,April,DEP-005,CC-118,CAT-009,31144.05,Operating,REG-05
BUD-202504-DEP-005-CC-108-CAT-001,2025,Q2,April,DEP-005,CC-108,CAT-001,42896.87,Operating,REG-02
BUD-202504-DEP-005-CC-110-CAT-005,2025,Q2,April,DEP-005,CC-110,CAT-005,30208.1,Departmental,REG-03
BUD-202504-DEP-005-CC-116-CAT-011,2025,Q2,April,DEP-005,CC-116,CAT-011,37272.37,Departmental,REG-04
BUD-202504-DEP-005-CC-120-CAT-009,2025,Q2,April,DEP-005,CC-120,CAT-009,27224.56,Capital,REG-02
BUD-202504-DEP-005-CC-110-CAT-010,2025,Q2,April,DEP-005,CC-110,CAT-010,26300.06,Operating,REG-01
BUD-202504-DEP-005-CC-108-CAT-013,2025,Q2,April,DEP-005,CC-108,CAT-013,43197.21,Project,REG-08
BUD-202504-DEP-005-CC-120-CAT-008,2025,Q2,April,DEP-005,CC-120,CAT-008,43362.43,Operating,REG-04
BUD-202504-DEP-005-CC-119-CAT-008,2025,Q2,April,DEP-005,CC-119,CAT-008,41063.4,Operating,REG-06
BUD-202504-DEP-005-CC-109-CAT-001,2025,Q2,April,DEP-005,CC-109,CAT-001,38829.66,Operating,REG-04
BUD-202504-DEP-005-CC-111-CAT-011,2025,Q2,April,DEP-005,CC-111,CAT-011,37960.25,Operating,REG-08
BUD-202504-DEP-005-CC-101-CAT-008,2025,Q2,April,DEP-005,CC-101,CAT-008,45719.55,Operating,REG-02
