Expense_ID,Date,Year,Quarter,Month,Department_ID,Cost_Center_ID,Category_ID,Subcategory_ID,Vendor_ID,Description,Budget_ID,Amount,Payment_Status,Region_ID
EXP-020532,2025-01-02,2025,Q1,January,DEP-007,CC-118,CAT-006,SUB-013,VEN-0027,Marketing expense,BUD-006398,3626.27,Paid,REG-03
EXP-022984,2025-01-02,2025,Q1,January,DEP-003,CC-118,CAT-004,SUB-001,VEN-0026,Employee training,BUD-006598,6344.99,Paid,REG-04
EXP-023030,2025-01-02,2025,Q1,January,DEP-008,CC-103,CAT-002,SUB-030,VEN-0081,Utilities,BUD-000002,4212.56,Pending,REG-03
EXP-023032,2025-01-02,2025,Q1,January,DEP-003,CC-119,CAT-012,SUB-029,VEN-0100,Professional services,BUD-006029,4228.52,Paid,REG-04
EXP-024571,2025-01-02,2025,Q1,January,DEP-009,CC-106,CAT-002,SUB-020,VEN-0063,Facility expense,BUD-001039,1295.82,Approved,REG-04
EXP-025295,2025-01-02,2025,Q1,January,DEP-004,CC-108,CAT-010,SUB-031,VEN-0017,Maintenance service,BUD-007381,18931.06,Paid,REG-05
EXP-025925,2025-01-02,2025,Q1,January,DEP-009,CC-107,CAT-015,SUB-020,VEN-0003,Software subscription,BUD-002901,3694.97,Paid,REG-05
EXP-027465,2025-01-02,2025,Q1,January,DEP-002,CC-102,CAT-010,SUB-031,VEN-0074,Office supplies,BUD-001434,2651.61,Rejected,REG-02
EXP-028089,2025-01-02,2025,Q1,January,DEP-005,CC-103,CAT-011,SUB-025,VEN-0092,Business travel,BUD-008019,10679.3,Pending,REG-03
EXP-028639,2025-01-02,2025,Q1,January,DEP-005,CC-101,CAT-010,SUB-019,VEN-0055,Professional services,BUD-009382,15646.68,Rejected,REG-07
EXP-030137,2025-01-02,2025,Q1,January,DEP-001,CC-107,CAT-006,SUB-039,VEN-0048,Transportation,BUD-007162,4819.03,Paid,REG-03
EXP-030735,2025-01-02,2025,Q1,January,DEP-006,CC-102,CAT-011,SUB-002,VEN-0053,Marketing expense,BUD-007334,14694.45,Pending,REG-08
EXP-033394,2025-01-02,2025,Q1,January,DEP-005,CC-103,CAT-001,SUB-032,VEN-0042,Marketing expense,BUD-005628,15843.82,Approved,REG-03
EXP-036388,2025-01-02,2025,Q1,January,DEP-009,CC-119,CAT-010,SUB-005,VEN-0050,Recruitment expense,BUD-004714,761.26,Pending,REG-01
EXP-036777,2025-01-02,2025,Q1,January,DEP-008,CC-117,CAT-005,SUB-017,VEN-0020,Marketing expense,BUD-009783,19907.94,Pending,REG-01
EXP-037795,2025-01-02,2025,Q1,January,DEP-001,CC-115,CAT-013,SUB-032,VEN-0031,Equipment purchase,BUD-001617,12690.3,Paid,REG-06
EXP-038091,2025-01-02,2025,Q1,January,DEP-010,CC-118,CAT-003,SUB-020,VEN-0088,Consulting fee,BUD-006067,5530.03,Paid,REG-04
EXP-039490,2025-01-02,2025,Q1,January,DEP-004,CC-108,CAT-011,SUB-017,VEN-0018,Utilities,BUD-002818,3227.17,Paid,REG-02
EXP-040148,2025-01-02,2025,Q1,January,DEP-006,CC-105,CAT-014,SUB-016,VEN-0063,Transportation,BUD-009389,949.52,Paid,REG-04
EXP-040427,2025-01-02,2025,Q1,January,DEP-010,CC-110,CAT-013,SUB-034,VEN-0019,Consulting fee,BUD-005671,3586.69,Rejected,REG-04
EXP-040788,2025-01-02,2025,Q1,January,DEP-002,CC-111,CAT-004,SUB-023,VEN-0018,Transportation,BUD-005876,5720.29,Pending,REG-08
EXP-040975,2025-01-02,2025,Q1,January,DEP-009,CC-101,CAT-004,SUB-002,VEN-0003,Business travel,BUD-009873,3056.44,Approved,REG-06
EXP-041318,2025-01-02,2025,Q1,January,DEP-004,CC-115,CAT-003,SUB-017,VEN-0022,Professional services,BUD-006625,3002.71,Paid,REG-01
EXP-043007,2025-01-02,2025,Q1,January,DEP-005,CC-104,CAT-006,SUB-027,VEN-0084,Marketing expense,BUD-005789,2797.34,Paid,REG-04
EXP-043756,2025-01-02,2025,Q1,January,DEP-005,CC-106,CAT-004,SUB-023,VEN-0048,Office supplies,BUD-008706,1155.8,Pending,REG-07
EXP-044789,2025-01-02,2025,Q1,January,DEP-005,CC-106,CAT-001,SUB-001,VEN-0034,Transportation,BUD-008333,3096.67,Paid,REG-08
EXP-045242,2025-01-02,2025,Q1,January,DEP-010,CC-101,CAT-009,SUB-037,VEN-0005,Utilities,BUD-009728,2172.47,Pending,REG-05
EXP-046212,2025-01-02,2025,Q1,January,DEP-002,CC-116,CAT-003,SUB-033,VEN-0067,Transportation,BUD-001046,14576.9,Approved,REG-01
EXP-047455,2025-01-02,2025,Q1,January,DEP-002,CC-110,CAT-014,SUB-032,VEN-0070,Utilities,BUD-000253,4526.12,Paid,REG-08
EXP-047617,2025-01-02,2025,Q1,January,DEP-001,CC-114,CAT-011,SUB-038,VEN-0010,Professional services,BUD-009242,6755.89,Paid,REG-08
EXP-048407,2025-01-02,2025,Q1,January,DEP-009,CC-107,CAT-004,SUB-028,VEN-0051,Equipment purchase,BUD-008705,9340.99,Pending,REG-08
EXP-000884,2025-01-03,2025,Q1,January,DEP-001,CC-110,CAT-005,SUB-009,VEN-0041,Transportation,BUD-004231,6541.54,Rejected,REG-04
EXP-001492,2025-01-03,2025,Q1,January,DEP-007,CC-118,CAT-002,SUB-012,VEN-0054,Recruitment expense,BUD-009283,45507.49,Pending,REG-06
EXP-001550,2025-01-03,2025,Q1,January,DEP-005,CC-103,CAT-001,SUB-020,VEN-0016,Employee training,BUD-000708,759.54,Paid,REG-03
EXP-002088,2025-01-03,2025,Q1,January,DEP-003,CC-105,CAT-008,SUB-035,VEN-0072,Utilities,BUD-001401,8102.88,Pending,REG-08
EXP-003737,2025-01-03,2025,Q1,January,DEP-004,CC-117,CAT-004,SUB-023,VEN-0002,Transportation,BUD-009439,3179.07,Pending,REG-02
EXP-003905,2025-01-03,2025,Q1,January,DEP-010,CC-110,CAT-011,SUB-031,VEN-0083,Employee training,BUD-009282,10999.04,Paid,REG-05
EXP-004471,2025-01-03,2025,Q1,January,DEP-008,CC-114,CAT-001,SUB-015,VEN-0007,Employee training,BUD-008570,4181.44,Paid,REG-06
EXP-004668,2025-01-03,2025,Q1,January,DEP-006,CC-103,CAT-002,SUB-024,VEN-0083,Consulting fee,BUD-001222,2852.98,Pending,REG-01
EXP-006577,2025-01-03,2025,Q1,January,DEP-006,CC-104,CAT-013,SUB-014,VEN-0085,Utilities,BUD-004327,999.33,Paid,REG-02
EXP-007891,2025-01-03,2025,Q1,January,DEP-006,CC-105,CAT-007,SUB-039,VEN-0037,Cloud services,BUD-000096,1334.62,Approved,REG-05
EXP-009795,2025-01-03,2025,Q1,January,DEP-006,CC-118,CAT-007,SUB-001,VEN-0040,Software subscription,BUD-003601,2692.41,Pending,REG-06
EXP-009864,2025-01-03,2025,Q1,January,DEP-009,CC-105,CAT-015,SUB-016,VEN-0046,Business travel,BUD-007307,5408.41,Approved,REG-05
EXP-011171,2025-01-03,2025,Q1,January,DEP-004,CC-117,CAT-014,SUB-006,VEN-0003,Utilities,BUD-001573,2357.57,Pending,REG-01
EXP-012598,2025-01-03,2025,Q1,January,DEP-003,CC-106,CAT-003,SUB-039,VEN-0042,Office supplies,BUD-003028,912.57,Pending,REG-07
EXP-013041,2025-01-03,2025,Q1,January,DEP-001,CC-117,CAT-002,SUB-007,VEN-0047,Cloud services,BUD-001788,4605.33,Paid,REG-02
EXP-013120,2025-01-03,2025,Q1,January,DEP-007,CC-118,CAT-013,SUB-013,VEN-0037,Employee training,BUD-001139,12445.35,Paid,REG-06
EXP-013390,2025-01-03,2025,Q1,January,DEP-006,CC-108,CAT-009,SUB-021,VEN-0020,Marketing expense,BUD-003983,2568.83,Approved,REG-02
EXP-013773,2025-01-03,2025,Q1,January,DEP-002,CC-107,CAT-001,SUB-010,VEN-0095,Cloud services,BUD-004706,3400.58,Paid,REG-07
EXP-013788,2025-01-03,2025,Q1,January,DEP-006,CC-101,CAT-008,SUB-019,VEN-0047,Employee training,BUD-000481,36322.35,Paid,REG-04
EXP-013835,2025-01-03,2025,Q1,January,DEP-007,CC-110,CAT-013,SUB-023,VEN-0050,Office supplies,BUD-000793,2736.94,Paid,REG-07
EXP-014902,2025-01-03,2025,Q1,January,DEP-007,CC-104,CAT-007,SUB-018,VEN-0052,Marketing expense,BUD-008410,1282.16,Approved,REG-02
EXP-017862,2025-01-03,2025,Q1,January,DEP-005,CC-107,CAT-013,SUB-038,VEN-0093,Office supplies,BUD-003471,28448.16,Pending,REG-06
EXP-018090,2025-01-03,2025,Q1,January,DEP-002,CC-108,CAT-003,SUB-025,VEN-0051,Marketing expense,BUD-005840,4393.31,Approved,REG-02
EXP-018382,2025-01-03,2025,Q1,January,DEP-005,CC-114,CAT-013,SUB-007,VEN-0062,Maintenance service,BUD-008622,5915.86,Paid,REG-02
EXP-019616,2025-01-03,2025,Q1,January,DEP-003,CC-103,CAT-010,SUB-013,VEN-0051,Office supplies,BUD-005025,2241.78,Paid,REG-07
EXP-020156,2025-01-03,2025,Q1,January,DEP-001,CC-101,CAT-004,SUB-012,VEN-0066,Transportation,BUD-007823,9847.87,Pending,REG-06
EXP-020400,2025-01-03,2025,Q1,January,DEP-007,CC-104,CAT-006,SUB-004,VEN-0004,Transportation,BUD-002043,1770.16,Paid,REG-03
EXP-022097,2025-01-03,2025,Q1,January,DEP-008,CC-116,CAT-007,SUB-037,VEN-0019,Business travel,BUD-007197,803.63,Pending,REG-01
EXP-023029,2025-01-03,2025,Q1,January,DEP-005,CC-114,CAT-014,SUB-001,VEN-0067,Utilities,BUD-003639,13915.66,Paid,REG-07
EXP-024064,2025-01-03,2025,Q1,January,DEP-008,CC-111,CAT-008,SUB-014,VEN-0043,Professional services,BUD-005534,1586.33,Paid,REG-04
EXP-024539,2025-01-03,2025,Q1,January,DEP-009,CC-111,CAT-002,SUB-020,VEN-0055,Business travel,BUD-004981,1276.12,Paid,REG-02
EXP-026135,2025-01-03,2025,Q1,January,DEP-001,CC-117,CAT-008,SUB-001,VEN-0050,Marketing expense,BUD-005706,7745.96,Paid,REG-04
EXP-026336,2025-01-03,2025,Q1,January,DEP-005,CC-104,CAT-003,SUB-023,VEN-0082,Marketing expense,BUD-000244,1898.55,Approved,REG-04
EXP-026473,2025-01-03,2025,Q1,January,DEP-004,CC-111,CAT-001,SUB-020,VEN-0059,Employee training,BUD-001181,950.8,Paid,REG-05
EXP-028949,2025-01-03,2025,Q1,January,DEP-009,CC-113,CAT-009,SUB-039,VEN-0006,Business travel,BUD-008122,3251.22,Approved,REG-02
EXP-030110,2025-01-03,2025,Q1,January,DEP-010,CC-109,CAT-013,SUB-039,VEN-0053,Insurance expense,BUD-005798,906.48,Paid,REG-03
EXP-032009,2025-01-03,2025,Q1,January,DEP-001,CC-119,CAT-012,SUB-035,VEN-0034,Recruitment expense,BUD-006592,462.56,Paid,REG-03
EXP-033056,2025-01-03,2025,Q1,January,DEP-003,CC-104,CAT-004,SUB-029,VEN-0048,Facility expense,BUD-003782,2196.09,Paid,REG-05
EXP-034847,2025-01-03,2025,Q1,January,DEP-010,CC-108,CAT-005,SUB-021,VEN-0026,Consulting fee,BUD-006929,4814.78,Paid,REG-05
EXP-034969,2025-01-03,2025,Q1,January,DEP-007,CC-109,CAT-010,SUB-033,VEN-0048,Marketing expense,BUD-000191,10922.94,Rejected,REG-03
EXP-035354,2025-01-03,2025,Q1,January,DEP-007,CC-101,CAT-005,SUB-017,VEN-0080,Employee training,BUD-007575,4727.87,Approved,REG-01
EXP-036963,2025-01-03,2025,Q1,January,DEP-005,CC-102,CAT-004,SUB-039,VEN-0038,Professional services,BUD-001471,6899.9,Paid,REG-04
EXP-037148,2025-01-03,2025,Q1,January,DEP-005,CC-116,CAT-013,SUB-029,VEN-0077,Business travel,BUD-009078,8314.34,Paid,REG-08
EXP-039324,2025-01-03,2025,Q1,January,DEP-006,CC-112,CAT-011,SUB-014,VEN-0004,Employee training,BUD-001723,6066.47,Pending,REG-06
EXP-039581,2025-01-03,2025,Q1,January,DEP-002,CC-104,CAT-013,SUB-006,VEN-0058,Business travel,BUD-006696,2499.22,Approved,REG-07
EXP-040097,2025-01-03,2025,Q1,January,DEP-006,CC-118,CAT-014,SUB-010,VEN-0100,Cloud services,BUD-005856,8901.58,Paid,REG-08
EXP-040760,2025-01-03,2025,Q1,January,DEP-008,CC-102,CAT-003,SUB-011,VEN-0056,Marketing expense,BUD-006881,21140.8,Paid,REG-08
EXP-041439,2025-01-03,2025,Q1,January,DEP-002,CC-119,CAT-008,SUB-039,VEN-0040,Facility expense,BUD-006446,8659.33,Paid,REG-05
EXP-041537,2025-01-03,2025,Q1,January,DEP-005,CC-114,CAT-001,SUB-021,VEN-0080,Professional services,BUD-007266,1745.38,Pending,REG-07
EXP-041579,2025-01-03,2025,Q1,January,DEP-002,CC-103,CAT-007,SUB-013,VEN-0064,Business travel,BUD-008949,4384.35,Paid,REG-04
EXP-043759,2025-01-03,2025,Q1,January,DEP-006,CC-110,CAT-006,SUB-009,VEN-0016,Office supplies,BUD-008450,4855.48,Pending,REG-01
