Revenue_ID,Date,Year,Quarter,Month,Department_ID,Customer_ID,Revenue_Category_ID,Invoice_ID,Revenue_Amount,Payment_Status,Region_ID
REV-013455,2025-01-01,2025,Q1,January,DEP-006,CUS-01192,RCAT-008,INV-009675,57727.9,Paid,REG-05
REV-014002,2025-01-01,2025,Q1,January,DEP-006,CUS-01549,RCAT-002,INV-006995,23519.77,Paid,REG-03
REV-014452,2025-01-01,2025,Q1,January,DEP-003,CUS-00854,RCAT-002,INV-014303,25308.3,Paid,REG-08
REV-014586,2025-01-01,2025,Q1,January,DEP-004,CUS-00026,RCAT-006,INV-005136,16090.04,Paid,REG-02
REV-016193,2025-01-01,2025,Q1,January,DEP-002,CUS-00465,RCAT-003,INV-014372,40636.99,Paid,REG-04
REV-016304,2025-01-01,2025,Q1,January,DEP-004,CUS-01380,RCAT-001,INV-006057,20548.76,Approved,REG-02
REV-016625,2025-01-01,2025,Q1,January,DEP-010,CUS-01668,RCAT-009,INV-000532,89385.93,Pending,REG-03
REV-017365,2025-01-01,2025,Q1,January,DEP-004,CUS-00882,RCAT-007,INV-001252,84899.9,Overdue,REG-03
REV-018551,2025-01-01,2025,Q1,January,DEP-001,CUS-00538,RCAT-005,INV-011143,52232.97,Pending,REG-06
REV-019218,2025-01-01,2025,Q1,January,DEP-004,CUS-01277,RCAT-009,INV-009546,56891.26,Paid,REG-05
REV-019370,2025-01-01,2025,Q1,January,DEP-009,CUS-01049,RCAT-004,INV-001879,6707.79,Overdue,REG-05
REV-019448,2025-01-01,2025,Q1,January,DEP-005,CUS-01445,RCAT-004,INV-000556,15514.68,Paid,REG-01
REV-020044,2025-01-01,2025,Q1,January,DEP-004,CUS-00193,RCAT-001,INV-010622,6219.63,Paid,REG-02
REV-020268,2025-01-01,2025,Q1,January,DEP-009,CUS-01619,RCAT-004,INV-007616,3603.01,Pending,REG-06
REV-020285,2025-01-01,2025,Q1,January,DEP-010,CUS-01859,RCAT-003,INV-003299,10145.7,Pending,REG-04
REV-020466,2025-01-01,2025,Q1,January,DEP-006,CUS-00121,RCAT-005,INV-006889,6652.17,Approved,REG-02
REV-020736,2025-01-01,2025,Q1,January,DEP-007,CUS-00374,RCAT-002,INV-011922,21901.18,Paid,REG-03
REV-020795,2025-01-01,2025,Q1,January,DEP-007,CUS-00695,RCAT-007,INV-003934,34465.57,Paid,REG-04
REV-020912,2025-01-01,2025,Q1,January,DEP-006,CUS-00666,RCAT-003,INV-002330,4720.42,Paid,REG-03
REV-022072,2025-01-01,2025,Q1,January,DEP-007,CUS-01848,RCAT-010,INV-004631,5668.56,Paid,REG-04
REV-022410,2025-01-01,2025,Q1,January,DEP-003,CUS-00652,RCAT-008,INV-013232,6829.14,Approved,REG-02
REV-023725,2025-01-01,2025,Q1,January,DEP-009,CUS-01509,RCAT-002,INV-013759,8196.51,Paid,REG-07
REV-023743,2025-01-01,2025,Q1,January,DEP-010,CUS-01534,RCAT-002,INV-013556,9609.24,Paid,REG-03
REV-024075,2025-01-01,2025,Q1,January,DEP-002,CUS-01054,RCAT-004,INV-012455,3727.29,Pending,REG-07
REV-024125,2025-01-01,2025,Q1,January,DEP-002,CUS-01459,RCAT-001,INV-004054,14865.48,Paid,REG-05
REV-000295,2025-01-02,2025,Q1,January,DEP-009,CUS-01504,RCAT-002,INV-004860,23667.32,Approved,REG-07
REV-000719,2025-01-02,2025,Q1,January,DEP-010,CUS-01092,RCAT-003,INV-007624,7457.38,Paid,REG-03
REV-001524,2025-01-02,2025,Q1,January,DEP-008,CUS-01456,RCAT-005,INV-014033,12107.52,Pending,REG-04
REV-002599,2025-01-02,2025,Q1,January,DEP-003,CUS-00416,RCAT-006,INV-001062,21203.21,Paid,REG-03
REV-002655,2025-01-02,2025,Q1,January,DEP-003,CUS-00756,RCAT-001,INV-003503,24273.47,Approved,REG-02
REV-004601,2025-01-02,2025,Q1,January,DEP-002,CUS-00790,RCAT-004,INV-012692,16548.87,Approved,REG-05
REV-004731,2025-01-02,2025,Q1,January,DEP-007,CUS-01399,RCAT-008,INV-009059,30024.23,Paid,REG-02
REV-004927,2025-01-02,2025,Q1,January,DEP-002,CUS-00617,RCAT-010,INV-006411,11076.59,Paid,REG-08
REV-005171,2025-01-02,2025,Q1,January,DEP-007,CUS-01981,RCAT-001,INV-001213,33752.48,Paid,REG-07
REV-006018,2025-01-02,2025,Q1,January,DEP-009,CUS-00364,RCAT-007,INV-004335,12331.61,Pending,REG-06
REV-007406,2025-01-02,2025,Q1,January,DEP-002,CUS-01375,RCAT-007,INV-006611,33153.32,Paid,REG-02
REV-008336,2025-01-02,2025,Q1,January,DEP-002,CUS-00912,RCAT-010,INV-008647,130353.93,Paid,REG-08
REV-008537,2025-01-02,2025,Q1,January,DEP-005,CUS-01456,RCAT-002,INV-009349,58492.1,Paid,REG-01
REV-010364,2025-01-02,2025,Q1,January,DEP-008,CUS-00916,RCAT-001,INV-000966,6025.55,Paid,REG-03
REV-010374,2025-01-02,2025,Q1,January,DEP-007,CUS-00681,RCAT-003,INV-009495,7560.87,Paid,REG-03
REV-011378,2025-01-02,2025,Q1,January,DEP-010,CUS-00080,RCAT-006,INV-011513,5413.5,Paid,REG-06
REV-011610,2025-01-02,2025,Q1,January,DEP-010,CUS-00464,RCAT-001,INV-006126,6273.97,Overdue,REG-02
REV-012909,2025-01-02,2025,Q1,January,DEP-008,CUS-01606,RCAT-003,INV-012668,13283.68,Pending,REG-03
REV-013016,2025-01-02,2025,Q1,January,DEP-003,CUS-00107,RCAT-004,INV-010423,78850.74,Paid,REG-08
REV-013917,2025-01-02,2025,Q1,January,DEP-005,CUS-01265,RCAT-009,INV-010273,52543.54,Pending,REG-01
REV-014207,2025-01-02,2025,Q1,January,DEP-004,CUS-00919,RCAT-005,INV-010661,10761.69,Paid,REG-07
REV-014524,2025-01-02,2025,Q1,January,DEP-002,CUS-01348,RCAT-001,INV-001524,49266.77,Paid,REG-02
REV-015529,2025-01-02,2025,Q1,January,DEP-008,CUS-00022,RCAT-002,INV-000330,57683.89,Overdue,REG-07
REV-016277,2025-01-02,2025,Q1,January,DEP-005,CUS-01914,RCAT-001,INV-009394,5435.65,Paid,REG-05
REV-017056,2025-01-02,2025,Q1,January,DEP-009,CUS-01941,RCAT-004,INV-007358,29514.03,Overdue,REG-08
REV-018592,2025-01-02,2025,Q1,January,DEP-008,CUS-00478,RCAT-009,INV-001580,24854.44,Pending,REG-01
REV-021704,2025-01-02,2025,Q1,January,DEP-003,CUS-01377,RCAT-005,INV-004197,21322.65,Approved,REG-05
REV-024716,2025-01-02,2025,Q1,January,DEP-001,CUS-01502,RCAT-005,INV-004729,43687.64,Paid,REG-06
REV-000028,2025-01-03,2025,Q1,January,DEP-008,CUS-01076,RCAT-008,INV-006387,2596.75,Overdue,REG-06
REV-001095,2025-01-03,2025,Q1,January,DEP-001,CUS-00873,RCAT-002,INV-001954,67136.2,Paid,REG-07
REV-001165,2025-01-03,2025,Q1,January,DEP-008,CUS-01493,RCAT-001,INV-012917,55504.35,Paid,REG-05
REV-001716,2025-01-03,2025,Q1,January,DEP-006,CUS-00193,RCAT-005,INV-007754,25809.29,Approved,REG-01
REV-001837,2025-01-03,2025,Q1,January,DEP-009,CUS-00364,RCAT-005,INV-013468,9830.15,Paid,REG-08
REV-002385,2025-01-03,2025,Q1,January,DEP-004,CUS-01346,RCAT-006,INV-008421,12483.7,Overdue,REG-04
REV-003888,2025-01-03,2025,Q1,January,DEP-006,CUS-01347,RCAT-006,INV-011631,16640.89,Paid,REG-07
REV-005741,2025-01-03,2025,Q1,January,DEP-004,CUS-01455,RCAT-002,INV-003780,17852.62,Paid,REG-05
REV-007021,2025-01-03,2025,Q1,January,DEP-008,CUS-00355,RCAT-010,INV-001636,14634.99,Paid,REG-04
REV-007379,2025-01-03,2025,Q1,January,DEP-002,CUS-00831,RCAT-001,INV-004299,4942.54,Paid,REG-02
REV-007986,2025-01-03,2025,Q1,January,DEP-005,CUS-00115,RCAT-002,INV-012352,26922.51,Paid,REG-05
REV-008564,2025-01-03,2025,Q1,January,DEP-009,CUS-01300,RCAT-006,INV-006696,24965.81,Pending,REG-07
REV-008729,2025-01-03,2025,Q1,January,DEP-003,CUS-01678,RCAT-001,INV-009444,9008.46,Paid,REG-08
REV-009083,2025-01-03,2025,Q1,January,DEP-010,CUS-00414,RCAT-009,INV-005920,27589.93,Pending,REG-03
REV-009645,2025-01-03,2025,Q1,January,DEP-004,CUS-00816,RCAT-007,INV-013561,29081.2,Pending,REG-02
REV-009736,2025-01-03,2025,Q1,January,DEP-009,CUS-01647,RCAT-009,INV-013695,23755.58,Approved,REG-08
REV-010031,2025-01-03,2025,Q1,January,DEP-004,CUS-01163,RCAT-009,INV-012168,15403.71,Pending,REG-07
REV-011860,2025-01-03,2025,Q1,January,DEP-008,CUS-01008,RCAT-009,INV-005616,20975.06,Paid,REG-06
REV-012530,2025-01-03,2025,Q1,January,DEP-007,CUS-01917,RCAT-008,INV-002686,29688.84,Paid,REG-07
REV-012580,2025-01-03,2025,Q1,January,DEP-010,CUS-01291,RCAT-001,INV-009516,1648.56,Paid,REG-03
REV-013334,2025-01-03,2025,Q1,January,DEP-006,CUS-00972,RCAT-007,INV-005739,1519.84,Pending,REG-05
REV-013988,2025-01-03,2025,Q1,January,DEP-004,CUS-00031,RCAT-007,INV-007127,17828.79,Paid,REG-05
REV-014532,2025-01-03,2025,Q1,January,DEP-009,CUS-01125,RCAT-004,INV-011924,84739.68,Pending,REG-06
REV-015997,2025-01-03,2025,Q1,January,DEP-001,CUS-00291,RCAT-005,INV-002540,60305.96,Pending,REG-04
REV-018811,2025-01-03,2025,Q1,January,DEP-004,CUS-00654,RCAT-006,INV-000374,39200.34,Paid,REG-01
REV-018946,2025-01-03,2025,Q1,January,DEP-004,CUS-00917,RCAT-008,INV-011894,95617.85,Pending,REG-06
REV-019246,2025-01-03,2025,Q1,January,DEP-008,CUS-01017,RCAT-004,INV-012308,18756.55,Paid,REG-04
REV-020380,2025-01-03,2025,Q1,January,DEP-006,CUS-01017,RCAT-010,INV-004840,30676.91,Approved,REG-03
REV-020620,2025-01-03,2025,Q1,January,DEP-001,CUS-00343,RCAT-009,INV-010053,11099.78,Overdue,REG-04
REV-021884,2025-01-03,2025,Q1,January,DEP-007,CUS-01567,RCAT-005,INV-001258,3058.25,Paid,REG-07
REV-022434,2025-01-03,2025,Q1,January,DEP-008,CUS-01685,RCAT-010,INV-012245,6815.83,Paid,REG-04
REV-022652,2025-01-03,2025,Q1,January,DEP-006,CUS-00127,RCAT-006,INV-012881,5234.66,Paid,REG-01
REV-022797,2025-01-03,2025,Q1,January,DEP-003,CUS-01377,RCAT-004,INV-013039,32658.93,Paid,REG-05
REV-023131,2025-01-03,2025,Q1,January,DEP-007,CUS-01689,RCAT-003,INV-001971,28829.1,Paid,REG-05
REV-023654,2025-01-03,2025,Q1,January,DEP-001,CUS-00157,RCAT-010,INV-007145,15261.28,Approved,REG-03
REV-000090,2025-01-04,2025,Q1,January,DEP-003,CUS-01827,RCAT-008,INV-012859,49634.83,Pending,REG-03
REV-000721,2025-01-04,2025,Q1,January,DEP-010,CUS-01248,RCAT-008,INV-012824,6175.4,Pending,REG-02
REV-001374,2025-01-04,2025,Q1,January,DEP-010,CUS-00200,RCAT-001,INV-010929,7007.72,Approved,REG-04
REV-001595,2025-01-04,2025,Q1,January,DEP-004,CUS-01218,RCAT-001,INV-004270,10213.28,Approved,REG-03
REV-003645,2025-01-04,2025,Q1,January,DEP-005,CUS-00366,RCAT-010,INV-005868,10127.59,Paid,REG-01
REV-005689,2025-01-04,2025,Q1,January,DEP-007,CUS-01021,RCAT-001,INV-002035,13982.26,Pending,REG-05
REV-005774,2025-01-04,2025,Q1,January,DEP-002,CUS-00003,RCAT-008,INV-001148,10664.22,Paid,REG-02
REV-006022,2025-01-04,2025,Q1,January,DEP-003,CUS-01866,RCAT-007,INV-013227,7828.89,Approved,REG-08
REV-007158,2025-01-04,2025,Q1,January,DEP-002,CUS-00170,RCAT-001,INV-010047,39127.55,Approved,REG-02
REV-008550,2025-01-04,2025,Q1,January,DEP-007,CUS-01888,RCAT-003,INV-000315,8281.11,Approved,REG-03
REV-010630,2025-01-04,2025,Q1,January,DEP-008,CUS-01436,RCAT-009,INV-007843,2128.94,Approved,REG-07
REV-010850,2025-01-04,2025,Q1,January,DEP-005,CUS-01341,RCAT-006,INV-001133,36618.85,Paid,REG-03
REV-011843,2025-01-04,2025,Q1,January,DEP-002,CUS-01956,RCAT-010,INV-004357,10773.69,Cancelled,REG-04
REV-012878,2025-01-04,2025,Q1,January,DEP-002,CUS-01559,RCAT-009,INV-014587,16124.12,Paid,REG-08
REV-014193,2025-01-04,2025,Q1,January,DEP-008,CUS-01407,RCAT-004,INV-000843,29274.08,Paid,REG-06
REV-015321,2025-01-04,2025,Q1,January,DEP-001,CUS-00819,RCAT-007,INV-001691,29223.76,Pending,REG-03
REV-016025,2025-01-04,2025,Q1,January,DEP-009,CUS-00432,RCAT-006,INV-003821,17505.85,Pending,REG-06
REV-017330,2025-01-04,2025,Q1,January,DEP-004,CUS-00592,RCAT-004,INV-004944,16891.65,Cancelled,REG-06
REV-018178,2025-01-04,2025,Q1,January,DEP-002,CUS-01893,RCAT-008,INV-005360,85312.23,Paid,REG-01
REV-018793,2025-01-04,2025,Q1,January,DEP-001,CUS-01927,RCAT-009,INV-013694,44272.61,Paid,REG-01
REV-018949,2025-01-04,2025,Q1,January,DEP-007,CUS-01908,RCAT-002,INV-011233,68875.32,Paid,REG-06
REV-019670,2025-01-04,2025,Q1,January,DEP-001,CUS-01708,RCAT-006,INV-001333,1770.12,Approved,REG-07
REV-020562,2025-01-04,2025,Q1,January,DEP-003,CUS-00031,RCAT-007,INV-013453,9418.88,Paid,REG-02
REV-020625,2025-01-04,2025,Q1,January,DEP-001,CUS-00148,RCAT-005,INV-009428,3708.77,Paid,REG-08
REV-021006,2025-01-04,2025,Q1,January,DEP-003,CUS-01334,RCAT-010,INV-012581,18847.7,Pending,REG-03
REV-021154,2025-01-04,2025,Q1,January,DEP-005,CUS-00841,RCAT-008,INV-007457,11242.24,Paid,REG-03
REV-021497,2025-01-04,2025,Q1,January,DEP-005,CUS-01733,RCAT-008,INV-001889,9405.3,Overdue,REG-01
REV-021989,2025-01-04,2025,Q1,January,DEP-005,CUS-01882,RCAT-008,INV-011919,16089.56,Approved,REG-01
REV-023261,2025-01-04,2025,Q1,January,DEP-004,CUS-01660,RCAT-007,INV-006326,9928.11,Approved,REG-06
REV-023534,2025-01-04,2025,Q1,January,DEP-008,CUS-00894,RCAT-007,INV-010496,35203.16,Paid,REG-04
REV-023904,2025-01-04,2025,Q1,January,DEP-004,CUS-00958,RCAT-009,INV-013079,9015.24,Pending,REG-03
REV-023919,2025-01-04,2025,Q1,January,DEP-004,CUS-00864,RCAT-004,INV-000920,362799.12,Pending,REG-08
REV-024035,2025-01-04,2025,Q1,January,DEP-004,CUS-01222,RCAT-005,INV-004175,20484.92,Paid,REG-01
REV-024959,2025-01-04,2025,Q1,January,DEP-005,CUS-00156,RCAT-008,INV-010721,47282.31,Paid,REG-03
REV-000846,2025-01-05,2025,Q1,January,DEP-010,CUS-01585,RCAT-007,INV-013009,11269.34,Approved,REG-06
REV-000987,2025-01-05,2025,Q1,January,DEP-005,CUS-01433,RCAT-009,INV-010580,17360.28,Paid,REG-04
REV-001229,2025-01-05,2025,Q1,January,DEP-003,CUS-00144,RCAT-007,INV-014701,29914.04,Paid,REG-01
REV-002402,2025-01-05,2025,Q1,January,DEP-006,CUS-00392,RCAT-006,INV-009320,6806.15,Overdue,REG-01
REV-002730,2025-01-05,2025,Q1,January,DEP-009,CUS-01634,RCAT-008,INV-007730,11042.54,Paid,REG-08
REV-004140,2025-01-05,2025,Q1,January,DEP-001,CUS-01674,RCAT-001,INV-012835,21700.28,Paid,REG-07
REV-004196,2025-01-05,2025,Q1,January,DEP-010,CUS-00727,RCAT-001,INV-002055,4258.57,Paid,REG-01
REV-004699,2025-01-05,2025,Q1,January,DEP-005,CUS-00829,RCAT-002,INV-000989,11174.28,Paid,REG-06
REV-007326,2025-01-05,2025,Q1,January,DEP-006,CUS-01840,RCAT-002,INV-009170,77048.65,Paid,REG-04
REV-008352,2025-01-05,2025,Q1,January,DEP-003,CUS-00184,RCAT-010,INV-009108,11560.57,Paid,REG-06
REV-008799,2025-01-05,2025,Q1,January,DEP-007,CUS-00763,RCAT-007,INV-014052,24165.3,Pending,REG-01
REV-009215,2025-01-05,2025,Q1,January,DEP-008,CUS-01034,RCAT-003,INV-005169,2777.44,Pending,REG-01
REV-009482,2025-01-05,2025,Q1,January,DEP-007,CUS-01075,RCAT-005,INV-005236,18394.86,Paid,REG-07
REV-012229,2025-01-05,2025,Q1,January,DEP-003,CUS-01816,RCAT-005,INV-007527,37042.14,Pending,REG-06
REV-012241,2025-01-05,2025,Q1,January,DEP-007,CUS-01042,RCAT-009,INV-014140,5455.59,Paid,REG-01
REV-012594,2025-01-05,2025,Q1,January,DEP-002,CUS-01608,RCAT-002,INV-008204,123861.62,Paid,REG-06
REV-013402,2025-01-05,2025,Q1,January,DEP-003,CUS-00263,RCAT-008,INV-009107,1068.81,Paid,REG-01
REV-013642,2025-01-05,2025,Q1,January,DEP-007,CUS-00852,RCAT-007,INV-007899,18534.84,Paid,REG-07
REV-014538,2025-01-05,2025,Q1,January,DEP-002,CUS-01156,RCAT-001,INV-007613,4524.4,Approved,REG-05
REV-015024,2025-01-05,2025,Q1,January,DEP-001,CUS-01420,RCAT-010,INV-014425,4058.35,Overdue,REG-08
REV-015704,2025-01-05,2025,Q1,January,DEP-009,CUS-00399,RCAT-006,INV-002907,17822.8,Paid,REG-01
REV-016051,2025-01-05,2025,Q1,January,DEP-009,CUS-01664,RCAT-001,INV-004493,26308.93,Paid,REG-06
REV-017951,2025-01-05,2025,Q1,January,DEP-003,CUS-00897,RCAT-009,INV-001017,2993.52,Approved,REG-02
REV-019155,2025-01-05,2025,Q1,January,DEP-005,CUS-00583,RCAT-006,INV-007437,18440.67,Paid,REG-07
REV-019942,2025-01-05,2025,Q1,January,DEP-009,CUS-01953,RCAT-005,INV-000740,8268.25,Paid,REG-04
REV-020206,2025-01-05,2025,Q1,January,DEP-004,CUS-01151,RCAT-010,INV-012531,4052.27,Pending,REG-04
REV-021964,2025-01-05,2025,Q1,January,DEP-005,CUS-01225,RCAT-007,INV-009294,42920.37,Paid,REG-06
REV-022530,2025-01-05,2025,Q1,January,DEP-003,CUS-00596,RCAT-001,INV-010815,2729.07,Approved,REG-07
REV-022900,2025-01-05,2025,Q1,January,DEP-002,CUS-01451,RCAT-004,INV-010049,10573.85,Approved,REG-01
REV-023364,2025-01-05,2025,Q1,January,DEP-009,CUS-00234,RCAT-006,INV-013525,23379.09,Approved,REG-05
REV-023704,2025-01-05,2025,Q1,January,DEP-009,CUS-00465,RCAT-005,INV-014803,9697.39,Paid,REG-04
REV-024165,2025-01-05,2025,Q1,January,DEP-008,CUS-00505,RCAT-004,INV-001704,11148.5,Overdue,REG-07
REV-002218,2025-01-06,2025,Q1,January,DEP-008,CUS-00291,RCAT-004,INV-013025,1827.84,Paid,REG-03
REV-002478,2025-01-06,2025,Q1,January,DEP-010,CUS-01593,RCAT-007,INV-000976,11235.2,Paid,REG-03
REV-003205,2025-01-06,2025,Q1,January,DEP-007,CUS-01615,RCAT-009,INV-014557,8475.63,Paid,REG-01
REV-004030,2025-01-06,2025,Q1,January,DEP-006,CUS-01450,RCAT-007,INV-008588,11705.36,Pending,REG-05
REV-005270,2025-01-06,2025,Q1,January,DEP-007,CUS-00032,RCAT-006,INV-005074,13594.25,Paid,REG-03
REV-007116,2025-01-06,2025,Q1,January,DEP-010,CUS-01314,RCAT-001,INV-014880,5894.07,Paid,REG-07
REV-007348,2025-01-06,2025,Q1,January,DEP-009,CUS-00665,RCAT-010,INV-002125,17968.67,Pending,REG-05
REV-007823,2025-01-06,2025,Q1,January,DEP-006,CUS-01825,RCAT-010,INV-010569,3608.85,Overdue,REG-04
REV-008180,2025-01-06,2025,Q1,January,DEP-007,CUS-01146,RCAT-002,INV-007079,10088.93,Paid,REG-04
REV-008268,2025-01-06,2025,Q1,January,DEP-003,CUS-01107,RCAT-007,INV-012279,4016.43,Pending,REG-05
REV-008307,2025-01-06,2025,Q1,January,DEP-008,CUS-01243,RCAT-010,INV-007096,6862.98,Pending,REG-05
REV-009240,2025-01-06,2025,Q1,January,DEP-005,CUS-00540,RCAT-002,INV-011948,8687.38,Approved,REG-03
REV-009659,2025-01-06,2025,Q1,January,DEP-005,CUS-00313,RCAT-010,INV-004004,102801.1,Paid,REG-08
REV-011278,2025-01-06,2025,Q1,January,DEP-006,CUS-01984,RCAT-005,INV-001422,21678.44,Paid,REG-01
REV-013131,2025-01-06,2025,Q1,January,DEP-009,CUS-00557,RCAT-008,INV-014501,35864.61,Pending,REG-04
REV-013542,2025-01-06,2025,Q1,January,DEP-003,CUS-00782,RCAT-001,INV-012978,16929.5,Paid,REG-08
REV-014225,2025-01-06,2025,Q1,January,DEP-007,CUS-00904,RCAT-001,INV-011255,29144.05,Paid,REG-07
REV-014902,2025-01-06,2025,Q1,January,DEP-002,CUS-00503,RCAT-008,INV-004349,93565.2,Pending,REG-01
REV-015640,2025-01-06,2025,Q1,January,DEP-002,CUS-01960,RCAT-007,INV-006112,8585.19,Pending,REG-05
REV-017609,2025-01-06,2025,Q1,January,DEP-003,CUS-01153,RCAT-002,INV-011250,23326.7,Approved,REG-04
REV-019000,2025-01-06,2025,Q1,January,DEP-004,CUS-00488,RCAT-009,INV-011408,605.12,Paid,REG-06
REV-019908,2025-01-06,2025,Q1,January,DEP-001,CUS-00718,RCAT-008,INV-007695,89227.05,Paid,REG-08
REV-020916,2025-01-06,2025,Q1,January,DEP-006,CUS-00599,RCAT-010,INV-003203,23159.04,Paid,REG-02
REV-023107,2025-01-06,2025,Q1,January,DEP-009,CUS-01514,RCAT-006,INV-004598,37085.33,Paid,REG-04
REV-024286,2025-01-06,2025,Q1,January,DEP-001,CUS-00908,RCAT-005,INV-006931,6956.45,Paid,REG-08
REV-024535,2025-01-06,2025,Q1,January,DEP-007,CUS-00554,RCAT-007,INV-004031,3121.74,Pending,REG-07
REV-000341,2025-01-07,2025,Q1,January,DEP-002,CUS-00083,RCAT-009,INV-008715,70810.78,Pending,REG-06
REV-000576,2025-01-07,2025,Q1,January,DEP-009,CUS-00035,RCAT-001,INV-014562,7813.41,Pending,REG-08
REV-000578,2025-01-07,2025,Q1,January,DEP-004,CUS-00382,RCAT-003,INV-002698,16045.3,Paid,REG-08
REV-000964,2025-01-07,2025,Q1,January,DEP-002,CUS-01633,RCAT-001,INV-009963,28680.74,Pending,REG-08
REV-001812,2025-01-07,2025,Q1,January,DEP-002,CUS-01679,RCAT-001,INV-002790,5703.58,Approved,REG-02
REV-001853,2025-01-07,2025,Q1,January,DEP-001,CUS-00034,RCAT-001,INV-012352,1646.31,Paid,REG-03
REV-001988,2025-01-07,2025,Q1,January,DEP-002,CUS-01008,RCAT-003,INV-008221,18466.84,Pending,REG-04
REV-003045,2025-01-07,2025,Q1,January,DEP-003,CUS-00869,RCAT-009,INV-000813,16262.75,Paid,REG-02
REV-003247,2025-01-07,2025,Q1,January,DEP-006,CUS-00679,RCAT-005,INV-014731,63372.18,Pending,REG-07
REV-003786,2025-01-07,2025,Q1,January,DEP-008,CUS-00555,RCAT-005,INV-006645,46170.64,Pending,REG-02
REV-005047,2025-01-07,2025,Q1,January,DEP-005,CUS-00666,RCAT-010,INV-001589,5030.03,Overdue,REG-01
REV-005801,2025-01-07,2025,Q1,January,DEP-006,CUS-01175,RCAT-005,INV-013661,59877.01,Paid,REG-05
REV-006012,2025-01-07,2025,Q1,January,DEP-005,CUS-01076,RCAT-010,INV-011675,11927.59,Paid,REG-08
REV-006043,2025-01-07,2025,Q1,January,DEP-005,CUS-01118,RCAT-007,INV-005308,7175.15,Approved,REG-07
REV-006931,2025-01-07,2025,Q1,January,DEP-009,CUS-00403,RCAT-007,INV-012854,11833.52,Paid,REG-07
REV-008110,2025-01-07,2025,Q1,January,DEP-004,CUS-01829,RCAT-003,INV-005349,1253.67,Paid,REG-06
REV-009628,2025-01-07,2025,Q1,January,DEP-009,CUS-00888,RCAT-004,INV-008314,11405.16,Pending,REG-04
REV-010439,2025-01-07,2025,Q1,January,DEP-003,CUS-00138,RCAT-005,INV-006092,6439.96,Overdue,REG-04
REV-010531,2025-01-07,2025,Q1,January,DEP-004,CUS-00236,RCAT-003,INV-008251,33741.62,Overdue,REG-04
REV-012459,2025-01-07,2025,Q1,January,DEP-005,CUS-01096,RCAT-006,INV-000484,62226.18,Pending,REG-05
REV-012997,2025-01-07,2025,Q1,January,DEP-005,CUS-01582,RCAT-001,INV-000284,28899.76,Approved,REG-08
REV-013469,2025-01-07,2025,Q1,January,DEP-007,CUS-00609,RCAT-001,INV-005224,4772.67,Paid,REG-03
REV-013764,2025-01-07,2025,Q1,January,DEP-003,CUS-00233,RCAT-004,INV-002420,11967.4,Paid,REG-04
